Rank,Institution,Country,Academic_Reputation,Employer_Reputation,Faculty_Student_Ratio,Citations_per_Paper,Staff_with_PhD,Employability_Score,Employability_Category
22,Pohang University of Science And Technology (POSTECH),South Korea,91.1,98.3,100.0,92.3,98.6,80.91,Excellent
23,Kyoto University,Japan,100.0,100.0,98.7,42.0,90.4,83.43,Excellent
24,Nanjing University,China (Mainland),95.4,73.4,61.6,97.4,74.3,78.28,Good
25,Tohoku University,Japan,99.0,99.0,99.7,20.1,89.3,82.07,Excellent
28,Universiti Teknologi Malaysia ,Malaysia,90.7,93.4,66.9,47.4,85.6,75.66,Good
29,Al-Farabi Kazakh National University,Kazakhstan,94.4,98.7,99.9,2.0,95.5,81.54,Excellent
30,Tokyo Institute of Technology (Tokyo Tech),Japan,99.2,99.9,94.7,19.1,71.1,84.39,Excellent
31,University of Science and Technology of China,China (Mainland),92.4,66.3,99.8,98.0,41.3,71.29,Good
34,Kyushu University,Japan,95.8,95.7,90.5,24.2,95.1,78.2,Good
35,Hokkaido University,Japan,96.1,94.7,90.5,27.8,87.2,77.09,Good
